-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.5b Reputation (REP) as of 27.12.2022 18pm UTC+1 (Fourth iteration)

0xddb91bdCE6e62Fd54f3eC738Ad452Ec22d17325D : 612 	: 0.07007 %
0xD823b2BaAC4d046701Fe004407ACe9167291aD9B : 609 	: 0.06973 %
0xA398D6EaCf3589fd1996991981Dd0f9c82f44A91 : 609 	: 0.06973 %
0x8e41c85eBfF9aadc3B4baDef143751d8561deB0d : 602 	: 0.06892 %
0x1E983734058AB8bF36B5FdE347FB8fb9D45c0922 : 598 	: 0.06847 %
0xA1E4976c74D012494d7DB515aBb8B3f9B4c3CC93 : 594 	: 0.06801 %
0x10c070f6690f1fB20dB2470Fba92C1515bF9A44d : 594 	: 0.06801 %
0x164c16bB3f8bF0AaBe9357db2873eD10776Dcb55 : 592 	: 0.06778 %
0xC3D12a61c0Dec3c453017405cCFf7182f44bA41A : 590 	: 0.06755 %
0x1575B0cECB4a67D43AB87144cA637a1421bf9D78 : 588 	: 0.06732 %
0x74A8a3c89576508b59c2Be671efA77b97fE567DE : 576 	: 0.06595 %
0x3bfAc75894A55a4063299b0A1c28D7C8F4867576 : 569 	: 0.06515 %
0x8153A20EcC31d18EbC7d27Dc350EF6ED1E18C7fc : 568 	: 0.06503 %
0x378788ddC639EeAB426A73d9c9Ccffd45DCD54B3 : 567 	: 0.06492 %
0x0A9585F0209a6F3B6C78323C21A400114822BC93 : 563 	: 0.06446 %
0xFd78554566481E2246e862EC45CC69831bCC5bcc : 561 	: 0.06423 %
0x3276797CC0f12D75ee3D448444DB0e1dC58C98F6 : 561 	: 0.06423 %
0xB1c90F0AD3f1a39FC65260Ca71F5B53DA409D89e : 559 	: 0.064 %
0x170F2F333bC180bCE8F22b4b96A1Ef258D923ad6 : 556 	: 0.06366 %
0xD48dD9BE2Fd21A415BD80AAA1864d4b809b70799 : 555 	: 0.06354 %
0xD67031a5bc5EAEDb0af990454Bc2e4752Afb832d : 553 	: 0.06331 %
0xaB4c65827B0c5D044C1873F5a454c9bfE5BCB2F0 : 547 	: 0.06263 %
0x064843176C34cdd806cCFaed1583655d66329DC8 : 544 	: 0.06228 %
0x0B1f9aAa9cC2c36E9eEad3228C3A985748242185 : 542 	: 0.06205 %
0xF6950703eBb50A72b8D702AF5b9dFFD9c0673bfB : 538 	: 0.0616 %
0xF7337F95A2D5202E5Dc783e1224B74A510b5dFa4 : 532 	: 0.06091 %
0xea75f5fbB80f39aCa7ADc6e7bC04F28aB2001951 : 532 	: 0.06091 %
0x1046394aBFfeec81Be8C48136745A4a46917CcbC : 531 	: 0.0608 %
0x48c2319FC2FAee12e771C6EAFe44d3A544ac85fE : 531 	: 0.0608 %
0xB84297C071228ad9A36ac039Bb56be7a870e0d30 : 531 	: 0.0608 %
0x8fC4f3B954e7B867241827b9445aD988fCf49063 : 531 	: 0.0608 %
0x186b04df4F3269a56eA0aD1Dd638ccA221C3Cf36 : 530 	: 0.06068 %
0x4ED4989a63Ee0C3C5E00255704535DE67dB58662 : 529 	: 0.06057 %
0xAc96769939CA849923a16237F948deD630951876 : 526 	: 0.06022 %
0x199B0dedE34dAfA960Ee79fC5FF403d3e33955D2 : 525 	: 0.06011 %
0x3B9bC54d71d30AA66EC3F8519b63631C717E4Da1 : 525 	: 0.06011 %
0xC36412537Af13d70d1Ae6353e2960110C1cA48BD : 524 	: 0.05999 %
0x6Cd1926F7726b013ee46D136a749C905eD1652cD : 520 	: 0.05954 %
0x5Ba80C4fF2ea0a2e109401563B409Dc268114fF6 : 520 	: 0.05954 %
0x4B6BF4aD01598BD99F71BBA257787572F0F1BB66 : 519 	: 0.05942 %
0xc117F8A5fb540298D5b0307933590994350Ccd34 : 518 	: 0.05931 %
0xB4AE95502aacff11729DF47264D78e3c05C6Eb1a : 518 	: 0.05931 %
0xcE362D6F9b285b4590be42F7dE7fa9ea0Ea1630d : 516 	: 0.05908 %
0x2f2FDeEC16f6F82f6E7eCABa13aD5ff8b8EC920c : 514 	: 0.05885 %
0x34BB82fDe1D25215c61559e9ad9c8c4Fe049011A : 514 	: 0.05885 %
0x791b45d07cF0d2132e539322F816778e2b627262 : 512 	: 0.05862 %
0xE463d7BE224D2f1a4767D1BFf2c473A9F5659B81 : 505 	: 0.05782 %
0x5D1EfDd2EABeF44AcA03A74F9870eA68e8c9166f : 499 	: 0.05713 %
0x65fF1b49b48C6CF19E4Ef1b609c1be07589EbC6E : 498 	: 0.05702 %
0x66886251cF8f0b21e18908336F14414784B08D9e : 494 	: 0.05656 %
0x997856b9452A9e6808145aCF8C33d745C3ba4e85 : 494 	: 0.05656 %
0x5A93D193560302e3950Fbe546F8BA1eB28191Ede : 493 	: 0.05644 %
0xD6b3DC8B1A99F8ae4CEf708E00482103bd2778AC : 493 	: 0.05644 %
0x707334b7e7f66efF68Ca6fe28629e7eBab347a0b : 490 	: 0.0561 %
0x31A6D349c9B133C5702eDa27bf4d278b163C3789 : 490 	: 0.0561 %
0x337ec4F2C158190b7510749aC02488B6fB1E4198 : 489 	: 0.05599 %
0xfa9Be7DFC53C654Cf4F2613AC6e8a50ba7eB172B : 486 	: 0.05564 %
0x23f6E783627Dcc231B1858E8B39907E3053A0386 : 485 	: 0.05553 %
0xDaaDD71aE08df645BaB1a06bd1000EB1064537F7 : 485 	: 0.05553 %
0x55ECaeCF9CF62057eD800645c8957ED47e5F952c : 483 	: 0.0553 %
0x7C56Fa6C816210476e286b5d8953eDfFE2847E27 : 483 	: 0.0553 %
0xF14F8afFA6D0649a93C2b750A87C31951360403e : 482 	: 0.05518 %
0xf26870f52014ca12e415a79D5591a127D89F4a5a : 479 	: 0.05484 %
0xAE3C466aA7492366fC4dd4dDD15f762f0831983F : 479 	: 0.05484 %
0x0c5ef96534bf7836eaBcCef2Ae147A769A8B162d : 478 	: 0.05473 %
0xa2441174452aD49136d1A2405774c7f2DE38De24 : 474 	: 0.05427 %
0xa86A24F5aBd2DdfB0d88bc025186199Dcf9C5902 : 473 	: 0.05415 %
0x417f91fC143f2D1Bc1E06cF76D4A47B3Ae514B2f : 473 	: 0.05415 %
0x3174c95e55FEFcE3316381D8d1c118eC01a9F499 : 472 	: 0.05404 %
0x4CB07Be1Dc5800EffF20cbB48251dEd59D6a93C6 : 472 	: 0.05404 %
0xf4f41BCfB2c166a0098A8cFf4f8085530B4d39b2 : 471 	: 0.05393 %
0x18B5f3724E02762Db2698949BFb501f37F8E4c68 : 468 	: 0.05358 %
0x38aDF199Db0b39DCAB21F86CC08A8872aBDcc0FE : 467 	: 0.05347 %
0xf7d456486E042F35CB101035393A0DF6Fd2896B1 : 467 	: 0.05347 %
0x55e6E7D0907E97790513ea00aa039B2d634CA691 : 467 	: 0.05347 %
0x8EC1238b6C9e0cd33C796F5499A0d3B9c7e02300 : 466 	: 0.05335 %
0xa194B90B2D0ab9Bb4d08c68B45bdcCc077dAb6C2 : 461 	: 0.05278 %
0xc40724873674234306acdB88b4Da1b17312EB28E : 458 	: 0.05244 %
0xbe9181f1741A333756EF6d819f7ADb7e201ED429 : 457 	: 0.05232 %
0x223E8070e803575155030a3E8dF956986E23a8E4 : 456 	: 0.05221 %
0xE168954465AA325DAdD8510701D56a460859b31a : 456 	: 0.05221 %
0xf96422C5f87718075F42f878DCC631eea2E79eb0 : 455 	: 0.05209 %
0x30944f11657dEca6A822f419c923eFc41E7Fe0e4 : 454 	: 0.05198 %
0x5FA2Bf8CB1c843e2a05Ee9af08b422986AF5695B : 453 	: 0.05186 %
0x994c4c94b07Bd5e41E1252eE371f260DC45E52ff : 452 	: 0.05175 %
0xd46bfA4A97b8d80145620C9A19b1942090Cfb4d5 : 451 	: 0.05164 %
0x8e4cdd8854b38BE8F7792B905C857969b09b55AA : 449 	: 0.05141 %
0xC98fFb80A048B61069001b5fB13D8ce6480d9dBd : 449 	: 0.05141 %
0xdB08D0EB2801d404F3Bf1Ca1A8c1b4b17893967e : 448 	: 0.05129 %
0x9f74A59a815157E0a43a1ae6C1B63907e00d491d : 444 	: 0.05083 %
0xdCFEe2A2f6F4d1F4d0363A2837CAEC2900C0b623 : 439 	: 0.05026 %
0x57ceFD4FebFE44E64075df7e4cC656dA235d63aa : 438 	: 0.05015 %
0x075541a95D0eDD7E2052Aa1eeEf5eeC7a86Ef449 : 432 	: 0.04946 %
0xE5Ac879E1591AFeC3918344bB3e1D2C57E3F5851 : 432 	: 0.04946 %
