-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.4.3b Reputation (REP) as of 05.12.2022 (Third iteration)

0x1538aA7A66116Fb17e791CE223650A3be0D5368E : 54068 	: 0.058 %
0xd3A72895e4B12f909c72EF45d817e0CF27305D75 : 53750 	: 0.057 %
0xfed1a4B1c9a4581711e46C70141beBbb56a5afEb : 52959 	: 0.056 %
0xA05e5e3679A4ABA67ef74f0EbA0FfDDE1f2e38AB : 52480 	: 0.056 %
0x35533C5CA870343d05aD214F0Ee5a00C8BF94C8C : 52454 	: 0.056 %
0x643Bdcb4eA07b349BdA789a451E94593fb343cE6 : 52273 	: 0.056 %
0xF50B5BDa78cC8DeF560B0C89b903C26Fd7Be8965 : 51753 	: 0.055 %
0xD1c6D61894F08b78D233C108420591BF278616BB : 51631 	: 0.055 %
0x6cEb5cfca1Abec1ff1bECA9cd2BA26842Ea758B8 : 51628 	: 0.055 %
0x7e58D97c39C57fc4a4C4Ad7bB50e2F9a8dd93B9C : 51118 	: 0.054 %
0xEF1f5b6124b48913E7dB27ACF975aFbC63a00084 : 50755 	: 0.054 %
0xC473e6D9866004bd2802497d09D67256be98cdc4 : 50562 	: 0.054 %
0xD48dD9BE2Fd21A415BD80AAA1864d4b809b70799 : 50395 	: 0.054 %
0x8e41c85eBfF9aadc3B4baDef143751d8561deB0d : 50193 	: 0.053 %
0x614cB7e7dec4B3f1190E46Fa24de5516e8fe5BE5 : 50117 	: 0.053 %
0x186b04df4F3269a56eA0aD1Dd638ccA221C3Cf36 : 50082 	: 0.053 %
0xED16f8A27845aEfD94d482b6caf306a73020FAe4 : 49792 	: 0.053 %
0xCA2745a232e7Fe2D11Cf7D40E43Eb6C95aee416e : 49579 	: 0.053 %
0xb4F80FddB4A9b52Cd68a889B40b14152F5D5D942 : 49577 	: 0.053 %
0xF2F3d2787d90689De3D352847B30Db7e27F40e58 : 49542 	: 0.053 %
0x7Bb903166946fc2AdB0658703843D8C1e9f96248 : 49539 	: 0.053 %
0xB3C83442721B5aC33b22FE11cBC568A69f4F0938 : 49375 	: 0.053 %
0xb1aac08E9C2979071eD67B73278eDee1EFa55116 : 49344 	: 0.053 %
0x094B503b0F663f392e0a0A2a647db2119D9004DA : 49057 	: 0.052 %
0x38338a008d651b71b3CcE1a89788357D95cf3815 : 48642 	: 0.052 %
0xCcd6a6Ffc14f879edCf1E3e342C92462f994e685 : 48563 	: 0.052 %
0x47BDd82E141563A4A9934B434B996A76738E7a22 : 48315 	: 0.051 %
0x67f401b77c0e2c21801530893594ef053eF52245 : 48219 	: 0.051 %
0xD7B537Fe37036e3f42c9A6591Be819604E449b03 : 48032 	: 0.051 %
0x791b45d07cF0d2132e539322F816778e2b627262 : 47687 	: 0.051 %
0x7F936FF90B8cCF6f2311244d52d7cdf496828957 : 47501 	: 0.051 %
0xA398D6EaCf3589fd1996991981Dd0f9c82f44A91 : 47004 	: 0.05 %
0xeFb2E87A1b295650FbC77490D04d9DE78F9212a7 : 46899 	: 0.05 %
0x43f9873FCf56B25F605A45B89169213FF0fC9eC3 : 46835 	: 0.05 %
0x741E51c66C757B6529FF83656E4765944AE4a461 : 46448 	: 0.049 %
0x8BFCe52bB29cb7cbB40B87db0079A6E8d79bff20 : 46412 	: 0.049 %
0x4C39450D4ebBc6625F9B01DA16Ba2A0b48D196a1 : 46267 	: 0.049 %
0x7bE013C16bE26106B3B43829978aE1eB93f38ea5 : 45023 	: 0.048 %
0x9463c1E0398c8B0E2B5365e21DE6cE1C37d2E87C : 44997 	: 0.048 %
0xD2EC8ceC8438c06bFe5F5E4995be8f6072aeb7e5 : 44535 	: 0.047 %
0x5302e31c12F335b8A802834C429A90bD715B3D0D : 44530 	: 0.047 %
0x4B2F6D3A23bADb60c8405d50289eF3daB9109936 : 44398 	: 0.047 %
0x0d9f7cC9e7B37Ec5c94C63d8864f443Bb54b00bD : 44345 	: 0.047 %
0xC71d7f8ccdc912Efb29503D119052932c7928C36 : 43822 	: 0.047 %
0x810E7fFd5411F4CcEba3d177dE6776b345bd7Cfc : 43782 	: 0.047 %
0xD928aF370679b6f40354A342a12b72215F18A7d7 : 43457 	: 0.046 %
0xF73AfD4366A453C00DFAf80aa1E3e170706BD724 : 43377 	: 0.046 %
0x866f3a307ecC6E7DDCD44caC1c2987745dA34E96 : 43012 	: 0.046 %
0xa4e43be772270b7583Fa94d7E46c4552f466e9D3 : 42684 	: 0.045 %
0x55835ABBD8DffF3533490aE2931C7bbaED0dc0dE : 42650 	: 0.045 %
0x55AaE01aD28fd6Fc442Ea0B93D9D39670d55140f : 42553 	: 0.045 %
0xca3101Be4904B11cdd6C6967feE150aeF26Bb9a1 : 42482 	: 0.045 %
0x76c662568bBD46299932CaF1DD63b8b679E0e226 : 42440 	: 0.045 %
0xB0Ef40B2F344B7fcC24af84491f781A324293Fce : 42380 	: 0.045 %
0x385a8eE958E8c2cA8e42A107711d5bE610bF67b0 : 42242 	: 0.045 %
0xB3F50dCC21578a9dA684d336859C14d5094Dd4B1 : 42066 	: 0.045 %
0x52eA19194e0f3fE85330b735dA507F5d6dAa87F1 : 42022 	: 0.045 %
0x9A940bac7BcA9352cdCB35B28E7afE6f4bea4D5b : 41708 	: 0.044 %
0x5636608b362E65396ed1A2b6F6D309caA8327035 : 41610 	: 0.044 %
0xe7c2bC18AA6A289590487138dc96F9DA971B952D : 41589 	: 0.044 %
0x5cf3c08e13dfE0D116F6eD0CDfA1d5295a1F9806 : 41273 	: 0.044 %
0x70cA225870853DB9B1Ad738165cAA0719F8220e4 : 41241 	: 0.044 %
0x48c2319FC2FAee12e771C6EAFe44d3A544ac85fE : 41173 	: 0.044 %
0x990e10154B9c512eD2088982A42658c7b29dF4Fa : 41114 	: 0.044 %
0x46C3A404E507692d784F989CfC0226F80A6dfa51 : 40762 	: 0.043 %
0xCa905075fcF52ad7A11890F2666159eE90838130 : 40659 	: 0.043 %
0x087b2732c065303C4752C96fD7a94d2a65352D58 : 40556 	: 0.043 %
0xC4f072CE413D6f13EFEdb7473bA9E746F1E5407f : 40451 	: 0.043 %
0x700a023F22C4a4fBFDEEd3d00B951Ef8eA932bE1 : 39615 	: 0.042 %
0xaE9e96F45f294d5B4298b97B9BAe8503E132feB9 : 39612 	: 0.042 %
0xad648110ad723bACCcF3a971F0133e79321bF383 : 39414 	: 0.042 %
0x52D8db4B65d2527b61120cE6F91b28A8a1904158 : 39346 	: 0.042 %
0x94BA53F75771f15C28900dc89f01452eeCBD8C4f : 38924 	: 0.041 %
0x8FdfDa09752410369Bb96FD086EB16f035a5257A : 38738 	: 0.041 %
0xb2674DF53A3FeE2b00C90A1EA9E6F74962671CcB : 38500 	: 0.041 %
0x513a1d74A414E2586E44EdF48Fb429851dF38aea : 38462 	: 0.041 %
0x59d97796DDCCdAF60F9B352f9724A55234a92E4C : 38185 	: 0.041 %
0x45127F9FbE08ebd3216Fe18eD17A03D056851cF6 : 38133 	: 0.041 %
0xF6950703eBb50A72b8D702AF5b9dFFD9c0673bfB : 37837 	: 0.04 %
0x0950884d6685721bEcb75BC53131e85e47C54D17 : 37481 	: 0.04 %
0xb156e2Ce07f8Bc963EC7D5496bdb5D0B6e103B39 : 37472 	: 0.04 %
0xc6435E1e964B42144C72a8a53d1B9294CF6cdBA9 : 37420 	: 0.04 %
0x1B46a00DF62DEb5aDfCD7B5F545b3d7526e8Ed35 : 37079 	: 0.04 %
0xDc2Fbe56dC559bA71ae8f56a6414094515815af3 : 37023 	: 0.039 %
0x7ea9dA6Ac18016459e79FFB4d0979d75ae1eEa63 : 36796 	: 0.039 %
0x377b5e49fC722d9051c1BfEc0677d4Dd2623245B : 36323 	: 0.039 %
0x6156A08aE9f1B4F3D5bA5f693EB6BdC896942641 : 36200 	: 0.039 %
0x90E2bB9c5030e38Ea1d4e3C46C81a9f1bF66E7f6 : 35933 	: 0.038 %
