-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.3 (Endend before Late November Migration) Reputation (REP) as of 05.12.2022 (Second iteration)

0x75859bf0C3596EeAF01ab5867D96E337b2007903 : 1138 	: 0.052 %
0xA60A3D65f0600E513e9B8fC5bfc9E26589D67d45 : 1131 	: 0.051 %
0xD8989c0C5D7226657aC877200Cb3E8e0a9DC566C : 1130 	: 0.051 %
0x2A41ec3c2d102A7D353031c8006d87b445C8EA19 : 1128 	: 0.051 %
0x4B3DD378465318b2992a02E1Ed3873447BD6dB54 : 1121 	: 0.051 %
0x0Ef463871d518c916DD1e599d456695dbFeaCd0C : 1118 	: 0.051 %
0x203100FFAcB63A94815B6e5f9984F5919Db1f0aF : 1111 	: 0.05 %
0x92069da5b8F2f6EBB7E2A35c6e9381dDDff10B29 : 1104 	: 0.05 %
0x261d814b51Ab6e52a8ea29bD016f0D0f84986d47 : 1103 	: 0.05 %
0x8B1Ef0a13bfc2C31251EdCcad2F9138d44FBd4cF : 1093 	: 0.049 %
0xe1dF003d4a8b5059A64733e503258690E6cD3cAd : 1093 	: 0.049 %
0x01eE8d89bb4FEb0205d86067F5f9dD1a44f5c356 : 1092 	: 0.049 %
0x84EF608DeDCb816a6Fe7a6fce5af24503EfA2832 : 1087 	: 0.049 %
0xAB71678a6bA673C12431F2231F1496Da3E62363b : 1076 	: 0.049 %
0x32a01b3CAF93C2FB004412d7aE323f5a1aF86D3A : 1074 	: 0.049 %
0xc43Ffa24919CC00D1c3789f405668f19D580963F : 1067 	: 0.048 %
0x2A95Fa9CF0f9DA38C90555af0B3CaaD1e31c2E1e : 1049 	: 0.048 %
0x106098C38acB1ff437742bd85b1c8742B7871C3b : 1044 	: 0.047 %
0xD1B95bEC114Ed36a30dC9c61036c966a0fBB8A9C : 1044 	: 0.047 %
0xFcf07A23c7Bf596ce5F7F6928fdaBfDb6314df16 : 1043 	: 0.047 %
0xE5d74BFDB97DC5A1EF1937f7b38d09056B46B13D : 1032 	: 0.047 %
0x340161A4CB782C69E69f82c89A456F1C58dd822f : 1030 	: 0.047 %
0x78dd429f7B60252889aC1D9ce76a3Ca4c3487583 : 1028 	: 0.047 %
0x1DcB4ECe29dCBE3cE2f42C6fC0C6bA9E6045cFaA : 1019 	: 0.046 %
0xE0616b0373bF010D7DC8705Ed54340f57427A13D : 1016 	: 0.046 %
0x091BF2e048D566d39B5797838b518c278bC6Efc2 : 1010 	: 0.046 %
0x90AE64112090F68e35AC48a8171025B1A327E9Ca : 1005 	: 0.046 %
0xB84297C071228ad9A36ac039Bb56be7a870e0d30 : 992 	: 0.045 %
0x9dff7476d17C43Fc7B33D4fF7637A9B63DC228Cb : 988 	: 0.045 %
0xc2F3899be7b065F188Ba3fE92F0e62b926e09FB5 : 983 	: 0.045 %
0xA05e5e3679A4ABA67ef74f0EbA0FfDDE1f2e38AB : 978 	: 0.044 %
0x8D9E15A4252dFF447bbF8363D66f0247fdE81CF3 : 977 	: 0.044 %
0x9e6Bc746Ec01Df6E332F7919b0c32F061F404689 : 976 	: 0.044 %
0xa1148F5d374a8626e1f676a557cd35e90837897C : 962 	: 0.044 %
0xE7532d9ADC13AacA41c17f9c0f713BA96d1AB082 : 961 	: 0.044 %
0x833789C5A5840076B94753bf5786cf8CA4EbEcbC : 953 	: 0.043 %
0xE8F8dEC957C5037182AbB1E7eAac246c072a927f : 945 	: 0.043 %
0xD06166D1966C6D5BE9d6A75d7f99dD4a4e823Ef9 : 945 	: 0.043 %
0x98a264C144dd4E2fD1e5C59311444403DcE5C9FB : 928 	: 0.042 %
0x458393A22F2B8357B6e610F7DEb76C4bCEFD9925 : 926 	: 0.042 %
0x43f9873FCf56B25F605A45B89169213FF0fC9eC3 : 919 	: 0.042 %
0x3F273c47dc7EDf8Ee316036C524caF813d4943d9 : 918 	: 0.042 %
0x6A47cF857A679FeC08086291b07b5efDd7832F66 : 915 	: 0.041 %
0x2EDd42B1C62Dca5bA9566e09A3538043581264B4 : 908 	: 0.041 %
0xB5D51c811c5494430c340E7FB2412bBCF757F75b : 907 	: 0.041 %
0xA5b1FBf2d4D3532fe370837Af1351458e51b92d4 : 897 	: 0.041 %
0x4D6A8a9a8A8A3DC8eDCd26990C2F2f8Aa3366D1c : 896 	: 0.041 %
0x62bd3C22589Bb13d49A7246a928d33307608F1BF : 894 	: 0.04 %
0x02dCBd35DE136148c714A9aDD00c037b61c5422b : 888 	: 0.04 %
0xa0Ae18762e6697B813b08bc0703aea133504C681 : 875 	: 0.04 %
0xEC5F932949f46c7ba5ac6053bD06754764f6aF3e : 874 	: 0.04 %
0x88101F506AC7c26b97924745B1052DbC2212643f : 874 	: 0.04 %
0xaE9e96F45f294d5B4298b97B9BAe8503E132feB9 : 869 	: 0.039 %
0x8227adD59d093Ce442550FC78DE0f38F3882Ef7e : 867 	: 0.039 %
0x66dee06f262EFa67562cb88CF1129356049E7bf6 : 863 	: 0.039 %
0x8688e9b51fF11Deb78dD42e185D9a8d991903834 : 854 	: 0.039 %
0x85FC82980d36415ed9c2602b3c4AE86C4ad1812f : 848 	: 0.038 %
0xCec13f9524f049cC7ab6b1b6Ae760123c1dDe855 : 844 	: 0.038 %
0x2180336Ed208FE56f8e0816BdAA3dCB48707FE2d : 844 	: 0.038 %
0xb8f4b3673b118759B757D9B519040Aaa355e8eF6 : 842 	: 0.038 %
0xcC6264FD8786A3Cd2358b9E3a3922e0f1069aae7 : 841 	: 0.038 %
0x1D5a1EA69b795C466B7f04B02Ae1A92dc7fE5109 : 838 	: 0.038 %
